CD4.	CD8.	mono	Bcells	NK	Gran
sample_2_62	0.0328387062932	0.120553061751	0.0931305140807	0.0141535801759	0.0177493225089	0.72157481519
sample_2_63	0.0686723417404	0.122592754763	0.100352246884	0.0332879348871	0.0634844359242	0.611610285801
sample_2_64	0.0312289444375	0.136122611761	0.0908091536996	0.0291204943594	1.24683249836e-18	0.712718795743
sample_2_65	0.0665558025553	0.0439000599283	0.0939650295806	0.0287142561365	0.0929025823243	0.673962269475
sample_2_66	1.06160037178e-16	0.0392571533716	0.0563238232826	0.00532550598907	0.0104826152661	0.888610902091
sample_2_67	0.0220732113577	0.076326876476	0.110497731862	0.043837432193	0.0700830777659	0.677181670346
sample_2_68	0.010555742388	0.0745037672972	0.0590305951726	0.0405874340279	0.0281310700715	0.787191391043
sample_2_69	0.0796531287008	0.155654654249	0.0806878387724	0.0369294203214	0.0035980194778	0.643476938479
sample_2_70	0.101271807823	0.0655754990108	0.0924743694667	0.133514339759	0.0894734130545	0.517690570885
sample_2_71	0.0876406522047	0.237229219574	0.0654625824832	0.0390389147969	0.0534078871228	0.517220743818
sample_2_72	0.104018611221	0.0556916121551	0.0731871078495	0.0158478010935	0.0294336482202	0.72182121946
sample_2_73	0.0396256562781	0.0926020770086	0.0933319424108	0.0242990549993	0	0.750141269303
sample_2_74	0.15266950792	0.132188934353	0.0912741119917	0.0390177156978	0.0246160500333	0.560233680004
sample_2_75	0.102175131195	0.0914717536019	0.0721700061759	0.0150716116144	0.0866842314963	0.632427265917
sample_2_76	0.0730641472327	0.123736070009	0.0723965761503	0.0851154403455	0.0656984192897	0.579989346973
sample_2_77	0.168420457475	0.0414048692728	0.0515985336165	0.0365277400624	0.11336487099	0.588683528583
sample_2_78	0.0313200520305	0.0817315138385	0.074289610003	0.0215222614327	1.98205709658e-19	0.791136562695
sample_2_79	0.142162711803	0.173354484814	0.0958338282096	0.0338112153723	0.0655832293283	0.489254530473
sample_2_80	0.0964289208552	0.142554380776	0.0777681920061	0.075573108348	0.11147991788	0.496195480135
sample_2_81	0.128380022743	0.0696950627873	0.0949039363592	0.063186999724	0.0304854285374	0.613348549849
sample_2_82	0.015659480048	0.251764604781	0.0844959506377	0.0168299343716	0.048715087294	0.582534942867
sample_2_83	0.0324648609432	0.118319088484	0.0794552951667	0.0309453336809	0	0.738815421725
sample_2_84	0.087041377084	0.193409504854	0.0849463469479	0.0624527392484	0.0550586843861	0.517091347479
sample_2_85	0.121681838472	0.137437764654	0.0733138321543	0.0237825414259	0.0310429101987	0.612741113095
sample_2_86	0.104504493471	0.0912611475588	0.0859510235121	0.0103808047157	0.052897738479	0.655004792263
sample_2_87	0.00126801047522	0.124002470376	0.0782027559949	0.0361611795813	0.0710946140921	0.68927096948
sample_2_88	0.0653156893529	0.155633828325	0.112475230536	0.0204872941578	0.0626976534063	0.583390304222
sample_2_89	0.153837295709	0.15581372653	0.0818106873284	0.0340609758286	0.0930273803336	0.48144993427
